Destination IP Address	Total Flows
52.87.115.64	11
64.74.236.191	32
220.150.223.50	9
124.146.153.166	17
52.220.77.91	12
35.244.159.8	14
185.84.60.23	11
142.250.76.166	12
18.138.40.228	11
169.197.150.8	11
67.199.150.81	12
23.50.93.199	12
34.196.74.196	10
54.151.251.104	52
51.68.39.188	8
23.36.254.89	16
69.173.158.64	8
182.161.73.164	7
52.21.47.229	8
18.172.64.22	12
